thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag
50.0,13,9,84,87,68,71,85.5903932880333,69.07745220575558,0.8456691316656801,0.65728112472287,0.03068185734972584,0.0,0.0,0.0,0.9222473502159119,0.8077190518379211,0.1574462205171585,1.1845016479492188,1.5240000486373901,-0.11058498173952103,1915.1639404296875,2112.34765625,288.9017028808594,551.193603515625,86,69,86,69,0
50.0,57,48,164,172,62,71,166.5048291814193,65.0726886665243,1.51816967688388,1.7537537451896643,0.12477213196638015,0.0,0.0,0.0,1.344452142715454,1.2101123332977295,1.1637130975723267,0.6625620126724243,0.5735591650009155,-0.09427694976329803,35344.453125,35744.859375,4425.66357421875,9423.681640625,166,65,166,65,0
50.0,11,7,66,68,69,72,66.97904156541534,70.66462418268841,0.5519777627135175,0.7658475355188386,0.06620727381929892,0.0,0.0,0.0,0.8858240246772766,0.7301651239395142,1.2936104536056519,1.8306496143341064,1.3194243907928467,-0.3165181577205658,1410.7225341796875,1645.10107421875,239.17259216308594,502.91351318359375,67,71,67,71,0
50.0,15,8,58,62,71,74,59.898670484045624,72.39023118891329,0.8349668559575312,0.7901734954258903,-0.02767087605794849,0.0,0.0,0.0,0.9209610223770142,0.8814597129821777,-0.4451763331890106,1.199043869972229,1.2670152187347412,0.08397799730300903,2171.390869140625,2363.817138671875,319.5237731933594,622.761962890625,60,72,60,72,0
50.0,26,21,177,181,69,74,178.68902320944028,71.31259119644575,1.016324102880207,1.0593716395942288,0.04036255814825518,0.0,0.0,0.0,1.0409566164016724,0.9960446953773499,1.030348539352417,0.9854291677474976,0.9453862905502319,-0.07509063184261322,13621.7607421875,13898.130859375,1735.553466796875,3217.331298828125,179,71,179,71,0
50.0,11,8,42,45,72,75,43.87273738231518,73.20779608361448,0.6717470202763223,0.6566413655907855,0.028622640533527477,0.0,0.0,0.0,0.8329445123672485,0.7966127395629883,0.6564005613327026,1.4914257526397705,1.5257351398468018,-0.130020871758461,1398.155029296875,1600.9876708984375,235.64500427246094,484.0445556640625,44,73,44,73,0
50.0,30,24,91,97,71,76,93.75298785406925,73.22827118595642,1.2277713215651387,1.0001075340883459,0.05549479669715751,0.0,0.0,0.0,1.1138124465942383,0.993630051612854,0.22680504620075226,0.8165318369865417,1.0024065971374512,-0.09061679244041443,15749.5068359375,16059.84375,2061.26123046875,4095.39404296875,94,73,94,73,0
50.0,5,4,72,74,75,77,72.98574318678037,76.06601543371639,0.35703867486019336,0.35679640165720383,0.0009411374353014423,0.0,0.0,0.0,0.5982193946838379,0.5966310501098633,0.7213935852050781,2.8008365631103516,2.8027384281158447,-0.014775777235627174,354.60479736328125,528.4666748046875,99.85798645019531,215.0952606201172,73,76,73,76,0
50.0,10,9,217,219,71,74,217.99927933269018,71.98577180072306,0.5371452878225622,0.726141308737815,0.00901700079589518,0.0,0.0,0.0,0.8523910641670227,0.7326090931892395,1.5232303142547607,1.8620818853378296,1.3774296045303345,-0.046245526522397995,1408.4268798828125,1643.93896484375,256.36505126953125,566.9398803710938,218,72,218,72,1
50.0,9,7,217,219,75,77,217.94734850411672,75.99221978003467,0.5640677430650891,0.5626230270537191,0.010226329468436601,0.0,0.0,0.0,0.7573620080947876,0.7437025904655457,0.7501381635665894,1.773421049118042,1.7779749631881714,-0.06446798890829086,1101.4808349609375,1341.152099609375,209.23291015625,454.83984375,218,76,218,76,1
